이사유형,세부유형,출발지EV,목적지EV,인원수,평균,Q25,Q50(중앙값),Q75,최소,최대,건수
반포장,소형,엘리베이터없음,엘리베이터없음,1인,339698,202500,295000,385000,100000,2100000,182
반포장,소형,엘리베이터없음,엘리베이터없음,2인,383953,250000,350000,475000,150000,1320000,43
반포장,소형,엘리베이터없음,엘리베이터없음,3인이상,426667,330000,400000,400000,150000,1100000,9
반포장,소형,엘리베이터없음,엘리베이터있음,1인,411915,250000,320000,490000,150000,2100000,47
반포장,소형,엘리베이터없음,엘리베이터있음,2인,335000,245000,300000,365000,200000,600000,8
반포장,소형,엘리베이터없음,엘리베이터있음,3인이상,750000,750000,750000,750000,750000,750000,1
반포장,소형,엘리베이터있음,엘리베이터없음,1인,316053,237500,250000,385000,150000,670000,76
반포장,소형,엘리베이터있음,엘리베이터없음,2인,408182,285000,375000,495000,200000,820000,22
반포장,소형,엘리베이터있음,엘리베이터없음,3인이상,656667,400000,700000,902500,220000,1050000,6
반포장,소형,엘리베이터있음,엘리베이터있음,1인,371628,250000,300000,485000,100000,1400000,43
반포장,소형,엘리베이터있음,엘리베이터있음,2인,285000,165000,235000,355000,150000,520000,4
일반,소형,엘리베이터없음,엘리베이터없음,1인,221848,150000,190000,250000,100000,800000,92
일반,소형,엘리베이터없음,엘리베이터없음,2인,300476,180000,230000,350000,100000,800000,21
일반,소형,엘리베이터없음,엘리베이터없음,3인이상,275000,172500,200000,302500,150000,550000,4
일반,소형,엘리베이터없음,엘리베이터있음,1인,304615,170000,200000,337500,100000,1200000,26
일반,소형,엘리베이터없음,엘리베이터있음,2인,267500,200000,210000,277500,200000,450000,4
일반,소형,엘리베이터있음,엘리베이터없음,1인,213714,150000,200000,250000,100000,470000,35
일반,소형,엘리베이터있음,엘리베이터없음,2인,243000,127500,260000,315000,100000,400000,10
일반,소형,엘리베이터있음,엘리베이터없음,3인이상,287500,200000,250000,337500,200000,450000,4
일반,소형,엘리베이터있음,엘리베이터있음,1인,207083,150000,190000,250000,100000,500000,41
일반,소형,엘리베이터있음,엘리베이터있음,2인,260000,147500,225000,287500,120000,570000,8
포장,가정,엘리베이터없음,엘리베이터없음,1인,935652,600000,800000,1262500,150000,2400000,46
포장,가정,엘리베이터없음,엘리베이터없음,2인,1320098,1000000,1250000,1550000,350000,3000000,102
포장,가정,엘리베이터없음,엘리베이터없음,3인이상,1575871,1250000,1470000,1755000,750000,4350000,155
포장,가정,엘리베이터없음,엘리베이터있음,1인,890000,550000,780000,850000,350000,2200000,9
포장,가정,엘리베이터없음,엘리베이터있음,2인,1193333,990000,1100000,1350000,350000,2500000,15
포장,가정,엘리베이터없음,엘리베이터있음,3인이상,1703750,1350000,1525000,2020000,800000,2780000,16
포장,가정,엘리베이터있음,엘리베이터없음,1인,916000,800000,950000,1050000,200000,1650000,25
포장,가정,엘리베이터있음,엘리베이터없음,2인,1162333,1100000,1200000,1412500,340000,1700000,30
포장,가정,엘리베이터있음,엘리베이터없음,3인이상,1248333,1000000,1150000,1325000,750000,3400000,30
포장,가정,엘리베이터있음,엘리베이터있음,1인,734667,525000,800000,925000,100000,1600000,15
포장,가정,엘리베이터있음,엘리베이터있음,2인,1112000,965000,1150000,1275000,120000,1800000,15
포장,가정,엘리베이터있음,엘리베이터있음,3인이상,1296000,1100000,1300000,1500000,750000,1800000,15
포장,소형,엘리베이터없음,엘리베이터없음,1인,456808,300000,400000,550000,120000,2500000,105
포장,소형,엘리베이터없음,엘리베이터없음,2인,467917,315000,425000,527500,230000,960000,24
포장,소형,엘리베이터없음,엘리베이터있음,1인,452619,250000,400000,600000,200000,950000,21
포장,소형,엘리베이터없음,엘리베이터있음,2인,756667,725000,750000,785000,700000,820000,3
포장,소형,엘리베이터있음,엘리베이터없음,1인,422294,300000,420000,522500,100000,880000,34
포장,소형,엘리베이터있음,엘리베이터없음,2인,602727,390000,650000,700000,240000,1100000,11
포장,소형,엘리베이터있음,엘리베이터없음,3인이상,690000,585000,690000,795000,480000,900000,2
포장,소형,엘리베이터있음,엘리베이터있음,1인,431650,280000,350000,600000,150000,1000000,20
포장,소형,엘리베이터있음,엘리베이터있음,2인,420000,380000,400000,410000,350000,560000,5
포장,소형,엘리베이터있음,엘리베이터있음,3인이상,1000000,1000000,1000000,1000000,1000000,1000000,1
