가격 구간,10평대이하,20평대,30평대,40평대이상,전체
10만~20만,130,33,6,5,174
20만~30만,207,38,11,9,265
30만~40만,139,41,8,6,194
40만~50만,62,38,6,6,112
50만~60만,45,31,5,2,83
60만~70만,22,37,4,2,65
70만~80만,10,24,9,3,46
80만~90만,14,20,11,1,46
90만~100만,2,14,13,3,32
100만~110만,1,15,9,3,28
110만~120만,1,29,14,8,52
120만~130만,2,16,19,12,49
130만~140만,2,16,24,8,50
140만~150만,0,9,18,14,41
150만~160만,0,9,17,11,37
160만~170만,1,5,8,11,25
170만~180만,0,3,6,8,17
180만~190만,0,3,4,8,15
190만~200만,0,1,2,2,5
200만~210만,0,0,2,7,9
210만~220만,0,3,0,3,6
220만~230만,0,0,4,2,6
230만~240만,0,0,2,4,6
240만~250만,0,0,2,1,3
250만~260만,0,2,0,4,6
260만~270만,0,0,1,2,3
270만~280만,0,0,1,0,1
280만~290만,0,0,1,0,1
290만~300만,0,0,1,2,3
300만~310만,0,1,0,1,2
310만~320만,0,0,0,1,1
340만~350만,0,0,1,0,1
430만~440만,0,0,0,1,1
합계,638,388,209,150,1385
